POSITION,PLAYER_NAME
 G,Manu Ginobili
 SF,Kobe Bryant
 C,Jermaine O'Neal
 SG,Tracy McGrady
 C,Tim Duncan
 C,Shaquille O'Neal
 F,Dirk Nowitzki
 SF,Paul Pierce
 SG,Ray Allen
 PF,Rashard Lewis
 SG,Michael Redd
 PF,Pau Gasol
 SF,Andrei Kirilenko
 PF,Kevin Garnett
 C,Amar'e Stoudemire
 C,Yao Ming
 PG,Gilbert Arenas
 G,Vince Carter
 F,Zach Randolph
 PF,Kenyon Martin
 PF,Carmelo Anthony
 G,Dwyane Wade
 PF,Chris Bosh
 SF,LeBron James
 C,Dwight Howard
 G,Joe Johnson
 PF,Elton Brand
 F,Richard Jefferson
 PG,Chris Paul
 PG,Deron Williams
 SF,Peja Stojakovic
 SG,Jason Richardson
 PG,Steve Nash
 G,Tony Parker
 C,Andrew Bynum
 PF,Carlos Boozer
 C,Brad Miller
 SG,Andre Iguodala
 C,Erick Dampier
 PG,Baron Davis
 PG,Chauncey Billups
 PF,Kevin Garnett
 PG,Jason Kidd
 C,Jermaine O'Neal
 SF,Kobe Bryant
 C,Shaquille O'Neal
 SG,Allen Iverson
 PG,Stephon Marbury
 C,Tim Duncan
 SG,Tracy McGrady
 SG,Ray Allen
 F,Dirk Nowitzki
 SF,Paul Pierce
 SG,Shawn Marion
 PF,Rashard Lewis
 SG,Michael Redd
 PF,Pau Gasol
 SF,Andrei Kirilenko
 C,Amar'e Stoudemire
 C,Yao Ming
 PG,Mike Bibby
 G,Vince Carter
 F,Zach Randolph
 PG,Gilbert Arenas
 PF,Ben Wallace
 PF,Kenyon Martin
 PF,Carmelo Anthony
 G,Dwyane Wade
 PF,Chris Bosh
 SF,LeBron James
 G,Joe Johnson
 PF,Lamar Odom
 PF,Rasheed Wallace
 SG,Wally Szczerbiak
 C,Dwight Howard
 PF,Elton Brand
 F,Richard Jefferson
 SG,Larry Hughes
 C,Raef LaFrentz
 SF,Peja Stojakovic
 PG,Steve Nash
 PF,Kevin Garnett
 C,Shaquille O'Neal
 PG,Jason Kidd
 C,Jermaine O'Neal
 SF,Kobe Bryant
 C,Tim Duncan
 SG,Allen Iverson
 PG,Stephon Marbury
 SG,Tracy McGrady
 PG,Baron Davis
 SG,Shawn Marion
 SF,Paul Pierce
 F,Dirk Nowitzki
 PF,Antawn Jamison
 SG,Ray Allen
 PF,Ben Wallace
 PF,Elton Brand
 PG,Mike Bibby
 PF,Rashard Lewis
 SG,Michael Redd
 C,Amar'e Stoudemire
 C,Yao Ming
 PF,Pau Gasol
 SF,Andrei Kirilenko
 G,Joe Johnson
 F,Zach Randolph
 G,Vince Carter
 PF,Kenyon Martin
 PF,Lamar Odom
 PF,Carmelo Anthony
 G,Dwyane Wade
 PF,Chris Bosh
 SF,LeBron James
 PF,Rasheed Wallace
 C,Raef LaFrentz
 SG,Wally Szczerbiak
 F,Richard Jefferson
 SG,Larry Hughes
 PG,Gilbert Arenas
 SF,Peja Stojakovic
 PF,Kevin Garnett
 C,Shaquille O'Neal
 PG,Jason Kidd
 C,Jermaine O'Neal
 SF,Kobe Bryant
 C,Tim Duncan
 SG,Allen Iverson
 PG,Stephon Marbury
 SG,Tracy McGrady
 SF,Grant Hill
 PF,Ben Wallace
 SF,Paul Pierce
 PF,Antawn Jamison
 G,Vince Carter
 F,Dirk Nowitzki
 PG,Steve Francis
 PG,Baron Davis
 SG,Shawn Marion
 SG,Ray Allen
 PF,Elton Brand
 SG,Larry Hughes
 SG,Michael Redd
 G,Joe Johnson
 PG,Mike Bibby
 C,Amar'e Stoudemire
 C,Yao Ming
 PF,Pau Gasol
 SF,Andrei Kirilenko
 PF,Lamar Odom
 PF,Kenyon Martin
 F,Zach Randolph
 SG,Wally Szczerbiak
 C,Theo Ratliff
 PF,Rasheed Wallace
 C,Raef LaFrentz
 PF,Carlos Boozer
 F,Richard Jefferson
 PG,Gilbert Arenas
 SF,Peja Stojakovic
 PG,Steve Nash
 C,Shaquille O'Neal
 C,Chris Webber
 PF,Kevin Garnett
 SG,Allen Iverson
 PG,Stephon Marbury
 PG,Jason Kidd
 C,Jermaine O'Neal
 SF,Kobe Bryant
 C,Tim Duncan
 PF,Vin Baker
 SF,Anfernee Hardaway
 SG,Tracy McGrady
 SG,Jalen Rose
 PF,Keith Van Horn
 SF,Grant Hill
 SG,Eddie Jones
 PF,Tim Thomas
 PF,Antonio Davis
 SF,Paul Pierce
 F,Dirk Nowitzki
 PF,Antawn Jamison
 G,Vince Carter
 PG,Steve Francis
 PG,Baron Davis
 SG,Shawn Marion
 SG,Ray Allen
 PF,Elton Brand
 SG,Michael Redd
 G,Joe Johnson
 C,Theo Ratliff
 PG,Mike Bibby
 PF,Lamar Odom
